model,gear,production,condition,price
0,1,1849,1,1090
1,0,923,3,550
1,1,455,0,328
2,0,621,1,425
0,0,133,3,1390
4,0,678,3,281
1,0,1240,1,351
0,1,150,1,201
0,0,469,3,251
2,1,183,3,449
4,1,112,2,480
1,1,144,2,572
2,1,173,1,299
0,1,1160,3,251
1,0,691,2,640
2,0,161,3,482
0,1,165,3,1360
2,0,983,0,237
0,1,363,1,197
1,0,1016,2,500
1,1,720,0,241
0,1,388,2,303
0,0,101,2,2650
0,1,196,2,2210
2,1,280,0,327
0,1,278,0,1500
0,1,621,3,1850
1,0,107,3,377
0,1,129,1,1270
0,1,600,3,3100
2,1,176,3,459
0,1,739,0,1090
2,0,153,0,2350
0,0,692,2,2260
2,0,732,3,6870
2,1,139,3,640
1,0,116,2,4710
2,1,1023,1,3960
1,1,149,2,4710
2,0,128,3,6090
0,0,1280,2,2360
1,0,145,1,2640
0,0,146,2,2680
0,0,884,2,3480
1,0,140,3,532
2,0,129,2,581
0,0,638,1,1260
1,1,194,0,1960
1,0,353,3,4510
0,0,677,0,1130
0,0,144,1,1710
0,1,172,3,1320
2,1,413,2,826
1,1,156,3,458
0,0,195,3,2350
1,0,921,2,680
0,1,413,1,1350
1,1,1391,2,680
1,0,182,0,2090
1,0,147,2,540
0,0,150,1,1890
0,0,343,1,1660
1,0,179,0,1800
1,0,731,1,3240
1,0,103,3,4630
0,1,119,2,397
0,1,150,0,840
2,0,763,1,3730
1,1,193,3,388
2,1,857,2,651
2,0,324,3,699
1,1,580,2,618
1,0,674,0,1890
2,0,214,1,3910
2,0,1973,0,2090
2,1,44,2,933
2,0,419,3,723
1,0,1576,2,466
0,0,1764,2,2470
0,0,1981,1,1110
0,0,885,0,8800
2,1,397,3,8160
0,0,1253,1,1700
2,1,428,0,3100
0,1,1237,3,1550
2,0,1032,1,3720
0,1,823,2,3030
1,1,125,3,3920
2,1,109,1,3610
2,1,101,1,336
2,0,563,3,6600
2,0,574,2,766
1,0,183,0,2310
2,1,948,1,357
2,0,796,1,4640
0,1,662,1,1702
0,1,643,1,173
2,1,529,1,4510
2,1,851,3,5630
1,1,542,0,2960
1,1,163,2,5050
2,1,892,0,322
0,1,697,1,1250
0,0,732,2,355
0,0,119,0,1250
1,0,270,0,2150
1,0,627,3,435
1,1,187,0,177
2,1,137,1,387
0,1,798,1,1200
2,0,531,0,2900
1,1,1761,1,321
2,0,120,1,515
0,1,1491,1,185
1,1,961,0,2770
0,0,125,0,990
2,0,303,3,568
2,0,1355,3,553
2,1,813,2,835
0,1,251,1,181
0,1,187,1,1154
1,0,729,1,3190
2,0,399,3,742
2,1,714,1,4170
2,0,1181,1,381
2,0,109,1,358
2,1,585,0,2880
1,0,119,1,2920
2,0,432,2,87100
2,0,1607,1,334
2,0,767,0,3270
1,0,128,1,2800
0,1,158,3,1790
1,0,722,2,538
1,1,159,3,410
2,0,164,2,5170
1,0,173,1,2820
2,0,189,0,2190
0,0,687,3,230
2,0,123,2,6190
1,1,184,2,501
2,1,887,0,2510
1,1,110,3,461
0,1,896,3,261
1,0,345,2,6300
1,0,130,3,4710
1,0,160,0,217
1,1,172,1,305
1,0,136,2,4940
1,1,161,3,403
0,0,152,3,187
0,1,855,2,269
1,0,121,3,4640
2,1,299,0,281
1,1,150,0,1876
1,1,188,0,2700
2,0,321,0,264
2,1,137,3,521
2,0,259,2,898
2,0,167,2,5500
2,1,595,2,695
1,0,152,2,5320
0,1,108,1,1248
2,0,193,2,509
0,0,199,1,147
0,1,181,1,1590
2,0,152,2,5060
2,1,166,1,2970
0,1,153,0,1110
2,0,471,1,5020
1,0,108,1,263
0,0,841,1,1530
2,1,912,2,800
2,1,244,0,382
0,0,1417,1,108
2,0,963,1,469
0,1,344,0,1000
2,1,192,0,216
2,1,158,2,541
2,1,583,3,643
1,1,822,1,283
0,0,423,1,1860
1,1,178,3,356
2,0,960,3,708
0,0,785,1,1090
1,0,678,1,397
0,1,333,3,263
2,1,132,1,593
2,0,829,0,2840
0,0,160,2,2770
1,0,367,3,546
2,0,681,3,5360
1,1,210,0,260
0,0,563,0,709
1,0,998,2,636
2,0,129,0,245
0,1,383,2,258
0,1,383,1,1750
1,1,178,0,246
2,1,145,3,562
2,1,172,3,426
0,1,115,2,3080
1,1,169,0,1670
2,0,120,2,578
0,1,108,0,1044
2,0,567,1,457
2,0,615,0,294
2,1,1061,0,283
0,1,1277,1,1000
0,1,778,2,360
2,1,153,1,4121
2,0,1369,1,394
2,1,212,3,682
2,0,649,2,819
0,1,1811,0,623
0,0,1551,0,1010
1,1,734,3,731
2,1,1630,2,628
2,0,145,3,500
0,0,184,2,2040
0,1,142,1,1290
1,1,112,2,6680
2,1,119,0,236
2,0,737,2,7790
1,1,578,3,4980
1,0,602,3,503
2,0,169,2,6180
1,1,211,1,3290
2,0,224,0,306
0,1,171,1,1440
1,1,663,0,2020
2,0,708,3,580
2,0,198,0,222
2,0,357,2,700
0,0,173,2,1700
2,0,131,3,560
1,1,633,1,3850
1,1,124,0,240
2,1,275,1,402
0,1,633,1,1830
1,1,988,1,401
0,1,148,0,710
2,0,1104,2,540
1,0,120,2,602
0,0,151,2,252
1,0,193,0,1830
2,0,950,2,7450
2,0,922,3,681
0,0,139,1,1570
2,1,122,1,416
0,0,111,1,1690
2,1,144,1,3290
2,1,154,1,3600
0,1,582,0,1140
0,0,1006,2,2150
0,1,1200,0,1140
1,1,159,3,439
1,1,138,3,429
1,1,305,0,2700
2,1,125,0,383
0,1,121,0,990
1,0,448,0,295
1,0,755,3,422
2,0,149,3,456
0,0,1493,2,205
0,1,241,0,1330
0,1,143,3,1880
1,0,293,1,424
1,0,683,2,727
2,1,116,1,364
0,1,270,2,338
1,0,703,1,279
2,0,125,3,487
1,1,242,2,721
1,1,1443,3,426
0,0,651,2,320
0,0,127,1,2150
2,1,838,0,2830
0,0,126,1,1360
0,0,1681,3,1410
2,0,407,2,733
2,1,185,0,2060
0,1,184,0,1070
2,0,162,1,2860
1,0,850,2,716
1,1,1426,2,619
1,1,516,1,302
0,1,1245,0,99
1,1,399,0,321
2,0,182,3,747
2,0,198,0,2550
2,1,488,1,484
2,0,137,0,2290
2,0,138,2,578
0,0,724,2,224
1,1,163,3,436
2,1,183,3,461
1,1,946,0,276
1,0,143,1,393
0,1,212,0,1030
2,1,624,3,612
2,1,188,1,534
2,0,125,0,233
0,1,120,0,123
0,1,584,2,344
0,1,681,3,2100
1,0,220,0,285
1,0,138,3,415
0,1,133,2,2270
1,0,388,0,238
2,0,936,3,702
1,0,755,2,488
1,0,829,0,2260
2,0,898,3,612
1,0,245,2,707
0,0,853,0,1060
2,1,721,1,4570
1,0,724,0,201
1,0,480,3,484
2,0,190,1,329
2,1,135,1,340
2,1,129,3,533
1,1,168,3,463
2,0,101,2,671
0,1,128,3,222
2,0,335,3,729
1,0,41,2,6920
0,1,1293,1,1280
0,1,174,2,148
0,1,238,2,276
0,1,171,0,650
1,1,931,0,2210
1,0,1443,2,505
0,0,1096,0,791
1,0,853,1,284
2,0,184,1,334
1,1,538,0,253
1,0,1141,3,446
0,0,903,1,181
1,0,169,2,415
0,1,143,0,946
2,1,908,0,255
0,1,1008,3,246
2,0,10,3,516
0,0,133,0,728
1,1,522,2,702
0,0,134,1,146
0,1,688,0,1220
1,1,1385,3,547
0,1,217,3,194
0,1,170,3,16100
0,0,431,0,1520
0,0,387,2,387
1,0,293,2,601
2,0,1299,3,622
2,0,149,2,642
0,0,190,0,601
1,0,163,3,379
1,0,235,1,4400
1,1,196,1,233
0,0,186,3,1650
1,1,107,2,512
1,1,103,2,647
0,1,127,2,2190
2,0,471,0,2910
2,0,188,3,456
1,0,126,2,619
0,1,770,2,488
1,0,1072,2,586
0,1,440,2,307
0,1,397,3,2130
0,0,163,3,1830
1,0,890,0,248
1,0,860,3,438
2,0,845,1,391
1,0,291,2,594
1,1,1024,2,472
2,0,18043,2,472
0,1,165,0,980
0,1,542,1,1310
0,0,776,1,1470
0,1,222,3,230
0,0,746,0,1423
2,0,543,0,3270
0,0,402,1,1550
1,1,158,0,1870
0,0,167,1,8790
1,0,1087,1,3520
2,1,1087,3,5120
2,1,182,0,3360
1,0,65,0,1920
2,0,656,1,3600
0,1,119,0,990
0,1,186,2,4040
2,1,744,3,587
0,1,665,2,2270
1,0,4978,0,2100
2,0,2285,2,765
2,0,1774,0,2510
0,0,1342,3,2200
0,1,1517,2,1880
1,1,151,0,2090
0,0,1161,0,1180
0,1,4504,3,305
1,0,1601,0,2160
0,1,1682,0,620
1,1,175,1,386
2,0,4398,2,749
2,0,656,1,3910
1,0,790,2,531
2,1,1304,3,492
1,1,175,1,326
0,0,170,3,1361
0,1,264,0,1454
2,1,165,2,632
0,1,956,0,1270
1,0,1400,2,471
0,1,404,2,2740
1,0,1600,1,2930
0,1,178,2,209
1,0,174,2,578
0,1,182,3,2180
2,0,168,1,299
1,1,181,0,1840
0,1,850,2,314
1,0,1088,1,287
1,1,595,2,662
0,1,105,0,1230
1,0,135,0,2070
1,1,7096,3,490
1,1,1479,3,390
0,0,1109,0,1160
1,0,1773,0,2060
1,1,1033,3,499
2,0,230,3,747
2,0,137,0,285
2,1,1137,3,595
1,0,1004,3,392
0,0,1886,1,1052
2,1,1466,1,327
2,0,143,3,534
0,0,165,0,1020
0,1,151,1,1440
1,0,177,0,2480
1,0,690,2,660
1,0,1910,2,450
2,0,1099,1,328
1,1,582,3,481
0,0,234,2,348
0,1,104,3,1770
1,1,592,0,284
2,1,184,2,565
1,0,1354,1,265
0,1,146,1,2310
0,1,890,3,3160
1,1,901,2,582
1,1,473,3,495
0,1,1711,2,1750
1,0,150,3,568
0,1,1473,3,2230
1,0,1693,0,1570
2,0,1434,3,592
0,1,958,0,1050
0,1,139,0,1280
1,1,759,2,668
0,0,1375,3,257
0,1,9650,1,2110
1,0,5284,0,2020
1,1,354,3,490
1,1,398,3,540
2,0,1831,2,495
2,0,1925,1,342
0,0,858,1,1795
0,1,177,1,1310
1,1,100,3,473
1,1,1538,0,200
1,1,995,1,3264
0,1,829,0,1140
2,0,1692,1,2750
1,0,903,3,473
0,1,1852,3,1440
2,1,320,2,925
0,1,1704,0,1112
1,0,1317,1,312
0,1,1663,1,1390
1,0,1561,3,423
1,1,247,1,463
2,0,1693,1,2790
0,0,851,0,1320
0,1,677,3,306
1,1,244,3,666
1,0,395,0,2590
1,1,176,2,689
0,0,770,0,900
0,1,807,0,1100
1,1,194,3,420
2,1,154,3,538
2,1,625,0,2620
0,1,1514,0,1130
0,1,526,0,950
2,0,277,2,1040
0,0,153,3,2030
1,1,989,3,466
0,0,642,2,332
2,1,199,2,637
1,0,732,3,496
3,0,189,0,880
1,1,173,1,283
2,0,126,0,217
1,1,149,1,300
3,0,169,2,1510
0,1,153,3,140
1,1,324,1,336
0,1,182,1,999
0,1,954,3,1870
0,1,115,1,1246
3,1,194,1,1210
2,1,533,1,492
3,1,109,0,860
0,1,446,2,454
3,0,153,3,521
2,1,446,2,874
0,1,101,0,1170
3,0,11,3,607
2,0,55,2,733
0,0,135,3,1850
0,0,46,1,1450
2,0,157,3,417
1,1,176,0,1790
3,1,182,0,232
2,0,615,3,820
3,1,465,1,410
1,0,1610,0,1690
2,0,856,3,540
3,1,1332,1,360
1,1,1059,2,560
3,0,1381,1,275
1,0,603,1,3610
2,1,226,2,868
4,0,175,1,1440
2,0,862,3,863
0,1,1526,1,1600
1,1,7194,2,657
0,0,320,1,1650
2,0,1801,0,3160
0,1,1692,0,1060
2,1,1945,3,4900
2,0,1020,0,2800
2,1,1841,3,536
2,1,585,3,644
0,0,383,1,2190
4,0,1242,1,1450
4,1,343,0,1150
1,0,1719,3,321
0,1,3598,0,930
1,0,8682,2,676
2,0,1682,3,690
0,0,183,0,1070
0,1,1889,1,903
4,1,768,1,423
0,1,379,0,1120
1,0,664,0,268
2,1,523,0,313
0,1,136,2,295
2,1,17,0,2350
3,0,127,1,341
1,1,107,1,369
0,1,283,3,284
3,0,1028,2,401
1,1,1140,1,362
0,1,871,1,132
2,1,1440,2,576
3,1,1884,1,275
2,1,385,2,798
1,0,166,2,495
2,0,1369,1,330
2,0,1496,1,320
2,0,344,3,580
0,1,1068,0,118
1,0,553,2,796
3,0,442,0,345
2,1,763,3,691
1,0,617,3,519
1,0,692,2,602
2,1,804,3,5360
0,0,239,1,134
0,0,1015,2,186
1,1,1845,2,576
2,1,676,1,405
0,0,340,1,1490
3,0,1010,0,223
2,1,153,2,512
0,0,107,0,866
3,1,348,1,195
0,1,153,3,171
3,0,1136,2,308
2,0,223,0,317
3,1,988,0,291
2,0,191,2,587
1,1,195,0,206
2,1,158,1,285
0,1,799,1,1290
0,1,1331,2,222
1,1,943,0,284
4,1,179,2,540
4,1,479,2,294
2,1,117,2,630
1,1,818,0,2110
2,1,1912,2,689
0,1,165,0,96
0,0,200,0,1416
4,1,1155,0,266
4,0,140,2,626
2,1,183,1,289
1,0,1733,0,154
0,0,882,0,1000
2,0,912,3,666
1,1,609,2,680
2,1,1071,0,300
0,1,17,1,157
0,0,5149,0,993
1,1,1206,3,427
4,0,170,1,286
2,0,1729,3,443
3,0,954,0,270
2,0,594,0,242
3,0,134,2,505
1,0,532,2,608
3,0,465,1,410
1,1,87,1,473
3,0,1497,0,235
1,0,181,0,185
3,1,176,3,570
2,1,145,2,630
1,0,174,3,512
3,0,804,0,121
1,1,163,1,404
1,0,1472,1,279
0,1,357,1,2032
3,0,1631,3,348
1,1,172,2,461
1,1,739,0,200
0,0,492,1,1830
3,0,177,1,1312
3,0,611,1,147
2,1,1683,2,657
1,0,1083,3,445
0,1,1410,3,255
0,0,247,2,210
4,0,323,1,2010
4,1,164,1,482
1,0,165,1,278
2,0,1117,2,642
2,0,323,1,447
3,0,1349,3,495
1,1,1233,0,1000
1,1,635,2,528
0,1,1345,3,240
2,1,146,1,501
4,0,3642,2,729
1,0,557,1,272
2,1,1941,1,343
0,1,165,0,670
0,1,1358,0,1100
2,1,123,3,574
3,0,658,0,269
1,0,1361,0,229
2,0,192,2,591
1,1,1079,0,1770
2,0,184,3,456
1,0,817,1,270
1,1,1662,3,390
3,1,1666,2,292
3,0,785,0,284
0,1,620,2,305
3,1,128,0,220
2,0,379,2,722
0,0,901,2,328
2,1,1265,3,780
2,0,1225,2,650
1,1,570,2,557
1,1,485,3,572
2,1,739,1,593
0,1,140,2,218
3,1,142,2,678
2,1,1433,0,243
1,1,168,2,567
3,0,468,1,332
0,1,216,2,417
2,0,896,1,427
1,0,156,2,563
0,0,1202,2,278
4,1,1421,1,419
2,1,1781,0,227
4,1,1025,3,1990
1,1,164,1,223
1,1,112,3,391
0,1,1336,1,1180
0,1,889,3,290
1,0,646,2,651
2,1,407,2,773
1,1,1155,0,2420
0,1,253,1,197
0,0,247,1,191
2,0,593,3,825
1,1,710,1,466
0,1,678,2,2510
2,1,676,2,713
2,0,352,2,885
0,0,180,2,190
1,0,160,1,318
2,1,573,0,257
1,1,1293,2,572
0,1,155,2,216
0,1,150,0,66
2,1,1314,1,319
2,0,127,2,631
2,1,966,0,265
0,0,172,0,850
0,0,1150,0,866
4,0,530,1,352
1,0,103,2,572
2,0,10,3,619
0,0,168,2,1530
1,1,187,1,285
1,0,1394,0,240
4,0,401,0,141
0,1,141,2,420
3,1,1650,1,339
0,1,950,2,374
1,1,1116,1,258
0,0,1229,1,121
3,1,1224,2,481
2,0,197,0,2510
1,0,678,1,354
3,0,832,0,2930
0,1,762,3,2700
0,0,935,0,1100
3,1,122,3,545
2,0,221,3,593
0,0,900,0,800
3,1,115,1,276
1,0,1446,0,213
2,0,117,0,1860
2,0,167,0,256
3,1,1283,3,274
1,1,174,0,2699
4,1,629,2,800
